judge,judge_label,pool,tier,epsilon,omega,omega_lo_clopper,omega_hi_clopper,omega_lo_boot,omega_hi_boot,passes_point,passes_boot_lo,n_instances,n_anchor_full
baseline_gpt5,Baseline GPT-5-mini,human,raw,0.1500,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,30,45
baseline_gpt5,Baseline GPT-5-mini,human,raw,0.2000,0.6000,0.1466,0.9473,0.2000,1.0000,True,False,30,45
baseline_gpt5,Baseline GPT-5-mini,human,scalar,0.1500,0.6000,0.1466,0.9473,0.2000,1.0000,True,False,30,45
baseline_gpt5,Baseline GPT-5-mini,human,scalar,0.2000,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,30,45
baseline_gpt5,Baseline GPT-5-mini,human,affine,0.1500,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,30,45
baseline_gpt5,Baseline GPT-5-mini,human,affine,0.2000,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,30,45
baseline_gpt5,Baseline GPT-5-mini,llm,raw,0.1500,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,45
baseline_gpt5,Baseline GPT-5-mini,llm,raw,0.2000,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,45
baseline_gpt5,Baseline GPT-5-mini,llm,scalar,0.1500,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,45
baseline_gpt5,Baseline GPT-5-mini,llm,scalar,0.2000,0.0000,0.0000,0.5218,0.0000,0.5000,False,False,15,45
baseline_gpt5,Baseline GPT-5-mini,llm,affine,0.1500,0.0000,0.0000,0.5218,0.0000,0.5000,False,False,15,45
baseline_gpt5,Baseline GPT-5-mini,llm,affine,0.2000,0.0000,0.0000,0.5218,0.0000,0.5000,False,False,15,45
cfgB_gpt5,Config B GPT-5-mini,human,raw,0.1500,0.2000,0.0051,0.7164,0.0000,0.6000,False,False,30,45
cfgB_gpt5,Config B GPT-5-mini,human,raw,0.2000,0.2000,0.0051,0.7164,0.0000,0.6000,False,False,30,45
cfgB_gpt5,Config B GPT-5-mini,human,scalar,0.1500,0.2000,0.0051,0.7164,0.0000,0.8000,False,False,30,45
cfgB_gpt5,Config B GPT-5-mini,human,scalar,0.2000,0.2000,0.0051,0.7164,0.0000,0.8000,False,False,30,45
cfgB_gpt5,Config B GPT-5-mini,human,affine,0.1500,0.2000,0.0051,0.7164,0.0000,1.0000,False,False,30,45
cfgB_gpt5,Config B GPT-5-mini,human,affine,0.2000,0.2000,0.0051,0.7164,0.0000,0.9050,False,False,30,45
cfgB_gpt5,Config B GPT-5-mini,llm,raw,0.1500,0.0000,0.0000,0.5218,0.0000,0.0000,False,False,15,45
cfgB_gpt5,Config B GPT-5-mini,llm,raw,0.2000,0.0000,0.0000,0.5218,0.0000,0.2000,False,False,15,45
cfgB_gpt5,Config B GPT-5-mini,llm,scalar,0.1500,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,45
cfgB_gpt5,Config B GPT-5-mini,llm,scalar,0.2000,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,45
cfgB_gpt5,Config B GPT-5-mini,llm,affine,0.1500,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,45
cfgB_gpt5,Config B GPT-5-mini,llm,affine,0.2000,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,45
cfgB_opus,Config B Opus-4.7,human,raw,0.1500,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,28,43
cfgB_opus,Config B Opus-4.7,human,raw,0.2000,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,28,43
cfgB_opus,Config B Opus-4.7,human,scalar,0.1500,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,28,43
cfgB_opus,Config B Opus-4.7,human,scalar,0.2000,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,28,43
cfgB_opus,Config B Opus-4.7,human,affine,0.1500,0.0000,0.0000,0.5218,0.0000,1.0000,False,False,28,43
cfgB_opus,Config B Opus-4.7,human,affine,0.2000,0.0000,0.0000,0.5218,0.0000,1.0000,False,False,28,43
cfgB_opus,Config B Opus-4.7,llm,raw,0.1500,0.2000,0.0051,0.7164,0.0000,0.8000,False,False,15,43
cfgB_opus,Config B Opus-4.7,llm,raw,0.2000,0.2000,0.0051,0.7164,0.0000,0.8000,False,False,15,43
cfgB_opus,Config B Opus-4.7,llm,scalar,0.1500,0.0000,0.0000,0.5218,0.0000,0.7762,False,False,15,43
cfgB_opus,Config B Opus-4.7,llm,scalar,0.2000,0.0000,0.0000,0.5218,0.0000,0.8000,False,False,15,43
cfgB_opus,Config B Opus-4.7,llm,affine,0.1500,0.0000,0.0000,0.5218,0.0000,0.7500,False,False,15,43
cfgB_opus,Config B Opus-4.7,llm,affine,0.2000,0.0000,0.0000,0.5218,0.0000,0.6000,False,False,15,43
cfgB_gemini,Config B Gemini-3.1-Pro,human,raw,0.1500,0.4000,0.0527,0.8534,0.0000,0.8000,False,False,30,45
cfgB_gemini,Config B Gemini-3.1-Pro,human,raw,0.2000,0.4000,0.0527,0.8534,0.0000,0.8000,False,False,30,45
cfgB_gemini,Config B Gemini-3.1-Pro,human,scalar,0.1500,0.4000,0.0527,0.8534,0.0000,1.0000,False,False,30,45
cfgB_gemini,Config B Gemini-3.1-Pro,human,scalar,0.2000,0.4000,0.0527,0.8534,0.0000,1.0000,False,False,30,45
cfgB_gemini,Config B Gemini-3.1-Pro,human,affine,0.1500,0.4000,0.0527,0.8534,0.0000,1.0000,False,False,30,45
cfgB_gemini,Config B Gemini-3.1-Pro,human,affine,0.2000,0.4000,0.0527,0.8534,0.0000,1.0000,False,False,30,45
cfgB_gemini,Config B Gemini-3.1-Pro,llm,raw,0.1500,0.0000,0.0000,0.5218,0.0000,0.2000,False,False,15,45
cfgB_gemini,Config B Gemini-3.1-Pro,llm,raw,0.2000,0.0000,0.0000,0.5218,0.0000,0.2000,False,False,15,45
cfgB_gemini,Config B Gemini-3.1-Pro,llm,scalar,0.1500,0.0000,0.0000,0.5218,0.0000,0.8000,False,False,15,45
cfgB_gemini,Config B Gemini-3.1-Pro,llm,scalar,0.2000,0.0000,0.0000,0.5218,0.0000,0.8000,False,False,15,45
cfgB_gemini,Config B Gemini-3.1-Pro,llm,affine,0.1500,0.0000,0.0000,0.5218,0.0000,0.7104,False,False,15,45
cfgB_gemini,Config B Gemini-3.1-Pro,llm,affine,0.2000,0.0000,0.0000,0.5218,0.0000,0.7500,False,False,15,45
deepseek,DeepSeek-V4-Pro,human,raw,0.1500,0.2000,0.0051,0.7164,0.0000,0.8000,False,False,30,45
deepseek,DeepSeek-V4-Pro,human,raw,0.2000,0.2000,0.0051,0.7164,0.0000,0.8000,False,False,30,45
deepseek,DeepSeek-V4-Pro,human,scalar,0.1500,0.4000,0.0527,0.8534,0.0000,0.8000,False,False,30,45
deepseek,DeepSeek-V4-Pro,human,scalar,0.2000,0.4000,0.0527,0.8534,0.0000,0.8000,False,False,30,45
deepseek,DeepSeek-V4-Pro,human,affine,0.1500,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,30,45
deepseek,DeepSeek-V4-Pro,human,affine,0.2000,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,30,45
deepseek,DeepSeek-V4-Pro,llm,raw,0.1500,0.0000,0.0000,0.5218,0.0000,0.5000,False,False,15,45
deepseek,DeepSeek-V4-Pro,llm,raw,0.2000,0.0000,0.0000,0.5218,0.0000,0.5000,False,False,15,45
deepseek,DeepSeek-V4-Pro,llm,scalar,0.1500,0.0000,0.0000,0.5218,0.0000,0.5000,False,False,15,45
deepseek,DeepSeek-V4-Pro,llm,scalar,0.2000,0.0000,0.0000,0.5218,0.0000,0.6787,False,False,15,45
deepseek,DeepSeek-V4-Pro,llm,affine,0.1500,0.0000,0.0000,0.5218,0.0000,0.7500,False,False,15,45
deepseek,DeepSeek-V4-Pro,llm,affine,0.2000,0.0000,0.0000,0.5218,0.0000,0.6000,False,False,15,45
qwen,Qwen3.5-397B-A17B,human,raw,0.1500,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,30,45
qwen,Qwen3.5-397B-A17B,human,raw,0.2000,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,30,45
qwen,Qwen3.5-397B-A17B,human,scalar,0.1500,0.6000,0.1466,0.9473,0.0000,0.8000,True,False,30,45
qwen,Qwen3.5-397B-A17B,human,scalar,0.2000,0.6000,0.1466,0.9473,0.0000,0.8000,True,False,30,45
qwen,Qwen3.5-397B-A17B,human,affine,0.1500,0.4000,0.0527,0.8534,0.0000,0.8000,False,False,30,45
qwen,Qwen3.5-397B-A17B,human,affine,0.2000,0.4000,0.0527,0.8534,0.0000,0.8000,False,False,30,45
qwen,Qwen3.5-397B-A17B,llm,raw,0.1500,0.0000,0.0000,0.5218,0.0000,0.2000,False,False,15,45
qwen,Qwen3.5-397B-A17B,llm,raw,0.2000,0.0000,0.0000,0.5218,0.0000,0.2000,False,False,15,45
qwen,Qwen3.5-397B-A17B,llm,scalar,0.1500,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,45
qwen,Qwen3.5-397B-A17B,llm,scalar,0.2000,0.0000,0.0000,0.5218,0.0000,0.5000,False,False,15,45
qwen,Qwen3.5-397B-A17B,llm,affine,0.1500,0.0000,0.0000,0.5218,0.0000,0.5000,False,False,15,45
qwen,Qwen3.5-397B-A17B,llm,affine,0.2000,0.0000,0.0000,0.5218,0.0000,0.5000,False,False,15,45
sonnet,Sonnet-4.6,human,raw,0.1500,0.4000,0.0527,0.8534,0.0000,1.0000,False,False,30,45
sonnet,Sonnet-4.6,human,raw,0.2000,0.4000,0.0527,0.8534,0.0000,1.0000,False,False,30,45
sonnet,Sonnet-4.6,human,scalar,0.1500,0.8000,0.2836,0.9949,0.0000,1.0000,True,False,30,45
sonnet,Sonnet-4.6,human,scalar,0.2000,0.8000,0.2836,0.9949,0.0000,1.0000,True,False,30,45
sonnet,Sonnet-4.6,human,affine,0.1500,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,30,45
sonnet,Sonnet-4.6,human,affine,0.2000,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,30,45
sonnet,Sonnet-4.6,llm,raw,0.1500,0.0000,0.0000,0.5218,0.0000,0.5000,False,False,15,45
sonnet,Sonnet-4.6,llm,raw,0.2000,0.0000,0.0000,0.5218,0.0000,0.5000,False,False,15,45
sonnet,Sonnet-4.6,llm,scalar,0.1500,0.0000,0.0000,0.5218,0.0000,0.6350,False,False,15,45
sonnet,Sonnet-4.6,llm,scalar,0.2000,0.0000,0.0000,0.5218,0.0000,0.6000,False,False,15,45
sonnet,Sonnet-4.6,llm,affine,0.1500,0.0000,0.0000,0.5218,0.0000,0.6787,False,False,15,45
sonnet,Sonnet-4.6,llm,affine,0.2000,0.0000,0.0000,0.5218,0.0000,0.6000,False,False,15,45
gpt54mini,GPT-5.4-mini,human,raw,0.1500,0.6000,0.1466,0.9473,0.2000,1.0000,True,False,30,45
gpt54mini,GPT-5.4-mini,human,raw,0.2000,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,30,45
gpt54mini,GPT-5.4-mini,human,scalar,0.1500,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,30,45
gpt54mini,GPT-5.4-mini,human,scalar,0.2000,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,30,45
gpt54mini,GPT-5.4-mini,human,affine,0.1500,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,30,45
gpt54mini,GPT-5.4-mini,human,affine,0.2000,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,30,45
gpt54mini,GPT-5.4-mini,llm,raw,0.1500,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,45
gpt54mini,GPT-5.4-mini,llm,raw,0.2000,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,45
gpt54mini,GPT-5.4-mini,llm,scalar,0.1500,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,45
gpt54mini,GPT-5.4-mini,llm,scalar,0.2000,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,45
gpt54mini,GPT-5.4-mini,llm,affine,0.1500,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,45
gpt54mini,GPT-5.4-mini,llm,affine,0.2000,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,45
